NUMERO_EXPEDIENTE;FECHA_SOLICITUD;ORGANO_COMPETENTE;DESCRIPCION_CAUSA_TERMINACION;FECHA_RESOLUCION;TIPO_DE_ENTRADA;IDENTIFICACION_SOLICITANTE(S/N);PERSONA_FISICA/JURIDICA
213/2018/00278;20/03/2018;Gerencia de Madrid Salud;TIPO I Resuelta favorablemente;09/04/2018;OT - Otros;N;
213/2018/00279;20/03/2018;Coordinación del Distrito de Hortaleza;Resolución concediendo;12/06/2018;OT - Otros;N;
213/2018/00280;21/03/2018;Dirección General de Transparencia y Calidad;Conceder;06/04/2018;IN - Internet;S;F
213/2018/00281;21/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;02/04/2018;IN - Internet;N;
213/2018/00282;21/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;27/03/2018;IN - Internet;N;
213/2018/00283;21/03/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;23/04/2018;IN - Internet;S;F
213/2018/00284;21/03/2018;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;04/04/2018;IN - Internet;S;F
213/2018/00285;21/03/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;06/04/2018;IN - Internet;S;F
213/2018/00286;22/03/2018;Madrid Calle 30, S.A.;;;IN - Internet;S;F
213/2018/00287;22/03/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;23/04/2018;IN - Internet;S;F
213/2018/00288;14/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;12/04/2018;IN - Internet;S;F
213/2018/00289;14/03/2018;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Resolución concediendo;13/04/2018;IN - Internet;S;F
213/2018/00290;14/03/2018;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;16/04/2018;IN - Internet;S;F
213/2018/00291;22/03/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;23/04/2018;IN - Internet;S;F
213/2018/00292;22/03/2018;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Conceder;04/04/2018;IN - Internet;S;F
213/2018/00293;22/03/2018;Secretaría General Técnica de Vicealcaldía;Conceder;19/04/2018;IN - Internet;S;F
213/2018/00294;24/03/2018;Gerencia de Agencia de Actividades;Desistimiento;18/05/2018;IN - Internet;S;F
213/2018/00295;24/03/2018;Gerencia de Agencia de Actividades;Desistimiento;16/05/2018;IN - Internet;S;F
213/2018/00296;24/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;24/04/2018;IN - Internet;S;F
213/2018/00297;08/03/2018;Coordinación del Distrito de Moncloa-Aravaca;Inadmitir a Trámite;09/05/2018;AC - Atención al ciudadano;S;F
213/2018/00298;14/03/2018;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;10/05/2018;IN - Internet;S;F
213/2018/00299;14/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;11/04/2018;IN - Internet;S;F
213/2018/00300;26/03/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;20/04/2018;IN - Internet;S;F
213/2018/00302;26/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder parcial;11/05/2018;IN - Internet;S;F
213/2018/00303;26/03/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;23/04/2018;IN - Internet;S;F
