"date","time","size","version","os","country","ip_id"
"2020-04-24","17:59:25",87564156,"4.0.0","win","CA",197
"2020-04-24","17:59:18",87564156,"4.0.0","win","US",198
"2020-04-24","17:59:47",88043423,"latest","osx","US",31
"2020-04-24","17:59:48",87564156,"4.0.0","win","CA",199
"2020-04-24","17:59:55",81774921,"3.6.3","osx","US",14
"2020-04-24","17:59:49",81774921,"3.6.3","osx","US",14
"2020-04-24","17:59:57",87660615,"4.0.0","win","MA",200
"2020-04-24","17:59:58",87666852,"4.0.0patched","win","US",100
"2020-04-24","23:53:58",87564166,"4.0.0","win",NA,3
"2020-04-24","23:53:58",87660398,"4.0.0","win",NA,3
"2020-04-24","23:53:44",87670127,"4.0.0","win","US",4
"2020-04-24","23:54:01",88141024,"4.0.0","osx",NA,3
"2020-04-24","23:54:04",87666940,"4.0.0","win","US",201
"2020-04-24","23:54:18",87564163,"4.0.0","win","JP",202
"2020-04-24","23:54:23",23576229,"4.0.0","win","PE",203
"2020-04-24","23:54:31",1058421,"4.0.0","osx","US",204
"2020-04-24","23:54:27",81774921,"3.6.3","osx","US",14
"2020-04-24","23:54:27",87660361,"4.0.0","win",NA,3
"2020-04-24","23:54:38",88142096,"4.0.0","osx","US",204
"2020-04-24","23:55:10",87665923,"4.0.0","win","AU",205
"2020-04-24","23:55:19",87670335,"4.0.0","win","US",35
"2020-04-24","23:55:19",87665224,"4.0.0patched","win","US",6
"2020-04-24","23:55:21",1016511,"4.0.0","win","MA",206
"2020-04-24","23:55:53",81774921,"3.6.3","osx","US",14
"2020-04-24","23:55:57",2119573,"4.0.0","win","MA",206
"2020-04-24","23:56:13",87700871,"4.0.0","win","FR",207
"2020-04-24","23:56:49",87699639,"devel","win","US",4
"2020-04-24","23:57:07",88144111,"latest","osx","US",38
"2020-04-24","23:57:06",87660967,"4.0.0","win","GB",208
"2020-04-24","23:57:23",81774921,"3.6.3","osx","US",14
"2020-04-24","23:57:43",87564157,"4.0.0","win","CA",209
"2020-04-24","23:57:34",87564167,"4.0.0","win","US",210
"2020-04-24","23:57:41",87660335,"4.0.0","win","FR",211
"2020-04-24","23:57:44",88141032,"4.0.0","osx","US",212
"2020-04-24","23:57:51",250938,"4.0.0","osx",NA,3
"2020-04-24","23:58:03",88145895,"4.0.0","osx",NA,3
"2020-04-24","23:58:18",88141417,"4.0.0","osx",NA,3
"2020-04-24","23:58:18",86527242,"3.6.3","win","US",213
"2020-04-24","23:58:29",87564156,"4.0.0","win","JP",214
"2020-04-24","23:58:36",87661644,"4.0.0","win","AR",215
"2020-04-24","23:58:27",81774910,"3.6.3","osx","US",14
"2020-04-24","02:00:20",1408216,"3.6.3","win","CN",216
"2020-04-24","02:00:17",86429659,"3.6.3","win","AU",217
"2020-04-24","02:01:04",86429660,"3.6.3","win","CN",218
"2020-04-24","02:01:38",86526298,"3.6.3","win",NA,3
"2020-04-24","02:01:35",64814777,"3.6.3","win","BR",219
"2020-04-24","02:01:43",86524977,"3.6.3","win",NA,3
"2020-04-24","02:01:38",81774921,"3.6.3","osx","US",14
"2020-04-24","02:01:52",81774921,"3.6.3","osx","US",14
"2020-04-24","02:02:04",81774921,"3.6.3","osx","US",14
"2020-04-24","02:02:15",81774921,"3.6.3","osx","US",14
"2020-04-24","02:01:58",86524562,"3.6.3","win","US",220
"2020-04-24","02:02:29",81138617,"latest","osx","US",38
"2020-04-24","02:02:34",78201949,"3.5.3","osx","US",38
"2020-04-24","02:02:44",81865257,"3.6.3","osx","KR",221
"2020-04-24","02:02:44",86429666,"3.6.3","win","HK",222
"2020-04-24","02:02:41",86429661,"3.6.3","win","TW",223
"2020-04-24","02:03:04",81774921,"3.6.3","osx","US",14
"2020-04-24","02:03:06",86535830,"3.6.3","win","US",224
"2020-04-24","02:03:00",81774921,"3.6.3","osx","US",14
"2020-04-24","02:03:06",81774921,"3.6.3","osx","US",14
"2020-04-24","02:03:16",86526578,"3.6.3","win","MX",225
"2020-04-24","02:03:04",81774921,"3.6.3","osx","US",14
"2020-04-24","02:03:19",6028967,"3.6.3","win","US",226
"2020-04-24","02:03:17",86530681,"3.6.3","win","US",227
"2020-04-24","02:38:44",86533796,"3.6.3","win","KR",228
"2020-04-24","02:39:22",81774921,"3.6.3","osx","US",14
"2020-04-24","02:39:49",86429667,"3.6.3","win",NA,3
"2020-04-24","02:39:49",86524616,"3.6.3","win","US",229
"2020-04-24","02:40:06",81134759,"latest","osx","US",38
"2020-04-24","02:40:09",78205099,"3.5.3","osx","US",38
"2020-04-24","02:40:17",6821692,"3.6.3","win","CN",230
"2020-04-24","02:40:26",86524461,"3.6.3","win","KR",231
"2020-04-24","02:40:43",81134778,"latest","osx","US",38
"2020-04-24","02:40:57",1008383,"3.6.3","osx","US",232
"2020-04-24","02:41:05",81774921,"3.6.3","osx","US",14
